,rnum,publisher,creator,collectionDb,title,subjectKeyword,referenceIdentifier,alternativeTitle,extent,medium,temporal,reference,rights,source,charge,venue,time,description,subDescription,spatial,url
30,31,MPKB22,제주여성역사,이뮤지엄 DB,호맹이,,www.emuseum.go.kr/openapi/img?serviceKey=Iuo1VW%2B1dPOxPvd%2FH%2Fy9KPPQqrSDx8cDlWfaeZc5ozEja7eyiBVs6kWDhAFThgv3Xy7VZEuzvbVMP2htmzI%2B0%2B7R9c02V2Qe4zeVP4bn17cUVUh4%2BM7nfRS%2BUIYWqAUAybzkE78zKdk%3D&imageId=ME9vMnk2b0ZCNlhXeXlmK0VzRER0bzJnZkJLZTI4aG1sRzZ0Q3ppU2M4blg1dlRFY3ZaNFJSY3duWVBkci9HUFg4TWE0WUtRQmlmRzdXMVFTWnpsa3c9PQ%3D%3D,,"전체길이 33cm, 전체너비 10cm, 끈길이 20cm",금속-철,광복이후,,,,,,,"일반적인 호맹이의 모양을 하고 있다.
조록부분인 나무는 양호한편이나, 날부분인 철은 부식이 심한 상태여서 관리가 필요하다.",산업/생업-어업-어로-기타,국적:한국||출토지:제주도-서귀포시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100103900000
31,32,MPKB22,제주여성역사,이뮤지엄 DB,닻돌,,www.emuseum.go.kr/openapi/img?serviceKey=1eJt8%2FqrCRQU4GXbCqKzOMP2fhY2LoYLDTdsDtKy88Z8qFghdsrZhIEwdi0zF6IJgxIK4J5a%2B7lsCyyLG1IYN410k8tCtLELoCUI53c6DRUv0xomUOmc1N%2B9IDCWJ2hqNa05fIzbV0U%3D&imageId=UkZUdktkbEhxcTNFSXNPRXAyT2taMitQZ2ozalpLUnVRRTFMVWpBZTUrUzBnVXBrVFRQdjBkRmdKaVl2bVBCaS9nMkVCbS84RGY3YktCTHZqeCtGRGc9PQ%3D%3D,,"전체길이 65cm, 전체너비 14cm",돌-현무암,광복이후,,,,,,,"물에 가라앉게 하기 위해 만든 닻돌이다. 
닻돌을 담는 잧 조래기가 한 세트로 구성되어있다. 상태는 양호한편이다.",산업/생업-어업-어로-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100104000000
32,33,MPKB22,제주여성역사,이뮤지엄 DB,납덩이,,www.emuseum.go.kr/openapi/img?serviceKey=8W%2FXuEtoEAGt8YvfPblrBRGoauILCILiW0Dg6j6RUEzBjzZDw%2FZqU8tGJ%2F%2FzyhHDwNYMaUPxCMOU%2BZuGRsqc1qjpUsBVZsV%2BOXPNMEi4QQxypKCFf0yTrYvSIj47xT6ruEiT5XUuqOc%3D&imageId=OGVBWmQwSEtsMldRZTNwRUcxb3k4RlJKdm1RVDd0QWp5SU9vc0xvTkZ3WkZHOXR4aVI2SkgvNFN5c01KckM3ejNIZHN0Tjl0dlJWanErSVBUR0pBcXc9PQ%3D%3D,,"전체길이 83.5cm, 전체너비 8.5cm",금속-납,광복이후,,,,,,,"해녀들이 물질할 때 허리에 차던 닻돌이다. 전근대에는 돌을 사용하였지만, 근대 이후에 납덩이를 사용했던 것 같다. 
해녀들이 자맥질 할 때 가라앉기 용이함을 위해 사용되었다.
상태는 양호하다.",산업/생업-어업-어로-기타,국적:한국||출토지:제주도-서귀포시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100104100000
33,34,MPKB22,제주여성역사,이뮤지엄 DB,차롱,,www.emuseum.go.kr/openapi/img?serviceKey=gVO5DWxItIaL975E3Avb19CJKEFdRpIQyUdOxetyIKR2noi0wfkLltPShIt8ka3ML1Su%2B%2Bm5LkMuESbryXf0SkNLlE6xEwzrs4CnITjP3RQ7e7h%2Bw%2F46PJTnZtCfE6rB%2FIny1bnog9s%3D&imageId=a0JyYncyT0JwTkIybEpaNjFNUEJhdVZQNkVqR1IrWTFVMVEzR0s3NXJ1Y1pWTmk1ODhiZyswNkczcGw1NVFYQ0hYRXlKOUc4Wk80WlZRQ1JSYjJGeFE9PQ%3D%3D,,"가로 32.5cm, 세로 28.5cm, 높이 15cm",나무-대나무,광복이후,,,,,,,"일반적인 차롱의 형태이다.
상태는 양호하다.",식생활-음식기-저장운반-기타,국적:한국||출토지:제주도-서귀포시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100104200000
34,35,MPKB22,제주여성역사,이뮤지엄 DB,차롱,,www.emuseum.go.kr/openapi/img?serviceKey=Y8A2f00454EfnesZupmBBf0dHPsfk6ih6fz2vgShyRdSqGPhTELYGg89ZdLsHXR9QOay%2BnO1pLTcCrNQ2TwxlMGwfr9XGVxmBuYmKh9254JQzvj9ARRqyWFLeQ4PDqhw%2BfLPQtIoIBQ%3D&imageId=L3lLV2pnL1ZTM1VyUVdHZWJlTDdrcC85d2pyU25lU29SelZWZ3U3dlBTMlBXSkhlNkpQWndsV25jZktsTitxdVRsK05nQ1BWakVvS3Rmbk5JcmI5c2c9PQ%3D%3D,,"가로 41.5cm, 세로 35cm, 높이 18.5cm",나무-대나무,광복이후,,,,,,,"일반적인 차롱의 형태를 지닌다.
상태는 양호하다.",식생활-음식기-저장운반-기타,국적:한국||출토지:제주도-서귀포시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100104300000
35,36,MPKB22,제주여성역사,이뮤지엄 DB,구덕,,www.emuseum.go.kr/openapi/img?serviceKey=fGCRKgYrweyGIAndMHG%2BQeuq0ZS8RBzU82mMnTFE8vdm%2BJZe9sSxGflLCOVmA5Ku7rf6iDQXlKmAjZ7Xaf8kgtSQAdfA9WTmdLKMH5p6mKqpRqYrHu4RCO%2BABdU3nUUqgJzmdwkfeik%3D&imageId=Nks4T2EvNDhzSGJPMnEwejd5cURSbjJXWWF5OEROeXYzaS9sL0xwNW5wNTRIakxGY2RoWEt4YW9ndm9RYkFJZmZPN2ZMTHJGMWczM0s3eVJ0OC90WGc9PQ%3D%3D,,"가로 30cm, 세로 29cm, 높이 15cm",나무-대나무,광복이후,,,,,,,"일반적인 구덕의 형태다.
상태는 양호하다.",식생활-음식기-저장운반-구덕,국적:한국||출토지:제주도-서귀포시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100104400000
36,37,MPKB22,제주여성역사,이뮤지엄 DB,구덕,,www.emuseum.go.kr/openapi/img?serviceKey=vE%2FDKoOle7nZIgUp3MVcTxa%2FZ%2FliyGxnGDhxHSSSH5ebfnKAF5piUcr8C6uksNSZQnhXDlVXoKnDK9C90soEaLAoL7IiNlPbHoyYae6CtChdfScfCP2DoDWpIqcnBNdb4ayB1Q%2BuN7Q%3D&imageId=NlZVZEd6YWpCTnZSN3dMOFZmMnE4SEZQai9XUi9HU3R5eWJyTFdvQTNPOXBQMHVKcU1zSnV3YTlZQ0IySkk3U0RJS1l3cDVBaU1JWllHNkQ5WmJHMWc9PQ%3D%3D,,"가로 38cm, 세로 36cm, 높이 21cm",나무-대나무,광복이후,,,,,,,"일반적인 구덕의 형태이다.
상태는 양호하다.",식생활-음식기-저장운반-구덕,국적:한국||출토지:제주도-서귀포시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100104500000
37,38,MPKB22,제주여성역사,이뮤지엄 DB,김구범 제1과장 및 윤기원 제주서장 송별기념회(김중규 사진),,www.emuseum.go.kr/openapi/img?serviceKey=nZh%2FmCpiJsoLnuuYsHnSZeZoTyWzymI0vQyoqPHTjZxe3JqnZbxxzfzCwxP7lp31BMWGLkAn%2FPhqOrhQ5oxrvph5TJC%2BMI0jrE0ZSdw7yANst%2BAHv1DqviOhPpGUh1skPjSkxAH1MsY%3D&imageId=MklBMEowWW5leDFQTU8zeFl5b0l2eWp6V3lJMGM3NHI2dTI2anJZR2FraDFPb1NWc2hRclI2TDdhYUNLUDhOU0h0Q0RNRDhLL1hTZ2R3eEtwR0gzQlE9PQ%3D%3D,,"가로 15.3cm, 세로 11.3cm",종이-기타,광복이후,,,,,,," 1967년 10월 25일 제주서장 송별기념식 사진촬영모습이다.
 여성간부로 김중규 선생님이 있다.
 따님이신 박희신 용담어린이집 원장님이 기증하셨다.",미디어-기록물-사진기록-사진,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100104600000
38,39,MPKB22,제주여성역사,이뮤지엄 DB,김중규 선생님,,www.emuseum.go.kr/openapi/img?serviceKey=LIC%2FJdPDwvadUZeU7wDVUozjUnrAVeia%2BJU5rbG5%2BbbgoI1%2F5Xqa40JWjIl52%2BJjdaMnuvk4SobZO7lKN6x9b8h1n9%2FTwcOBbeqprmpqlpszDkwFTCUTL5POhwJlKnQuax8h2RlR0g4%3D&imageId=QzlUYVFVNGpSa3FTcVM0UjY2bUU2dnovaU5hMFBMQUZ5YWJuaGpYY1V6MVB1RW1jdGtwT2VUdmNkOUJxS0ZReGIyRFB0cExxYXZtemV6V29oRU5BY0E9PQ%3D%3D,,"가로 7.5cm, 세로 8.4cm",종이-기타,광복이후,,,,,,," 김중규 선생님 사진이다.
 따님이신 박희순 용담어린이집 원장님이 기증하셨다.
 정확한 연대 미상.",미디어-기록물-사진기록-사진,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100104700000
39,40,MPKB22,제주여성역사,이뮤지엄 DB,접시,,www.emuseum.go.kr/openapi/img?serviceKey=48PzbQdICVHx5lfbbx25agS9knBMwHIG79Ve%2BaVEv1xdZf6C0suXsi0zvjILNJzAFLGb6X989Kpj2hPsbCn34XxdL0JGON1KuWgdWZAPRO0wOIrhp9ALTvbhymTKpzriqQPXukvAwAw%3D&imageId=YmE0c2Vxc2xWTlV1ZGpndmxSS201UVpucmtpcFQ5OFA5TDRrMS9JT2Q4L0ZZcDdHK3lnQXVxTHh1U1JieGZJQVFjUXljZytMVDNXc2h0d05NUWNORWc9PQ%3D%3D,,"지름 13cm, 높이 4cm",도자기-백자,광복이후,,,,,,, 일반적인 접시 형태의 유물이다. 전체적으로 양호하나 금이 있다.,식생활-음식기-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100104800000
40,41,MPKB22,제주여성역사,이뮤지엄 DB,잔,,www.emuseum.go.kr/openapi/img?serviceKey=KDinRqedcXxd3FrCWjxDDcgwnBuHag4AM4XDFx8A08eJuw%2BleTuzakAOyXAnRhf8aaKOH0LsgL2xpHJncEuNsrDG1WPx8eev0mH35BlHKqCGJ4XSnz%2FMKYOx6M2HVT01VUp9jAiN5sE%3D&imageId=bW9tUGNUTVUzVnpSTk9qdUFJbFUraXZIZ3NhY2J5NXFPM0xUZENMK1JXMDVOUlZrVm1pL2xXRDN3QmY4NVFTbXcyRFl3QUtVc09xWm9wb1U3YTFHeUE9PQ%3D%3D,,"최대지름 8.7cm, 구멍지름 8cm, 높이 3.7cm",도자기-백자,광복이후,,,,,,,일반적인 잔의 형태를 보이고 있다. 전체적으로 양호하다.,식생활-음식기-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100104900000
41,42,MPKB22,제주여성역사,이뮤지엄 DB,밥사발,,www.emuseum.go.kr/openapi/img?serviceKey=ge4Tam1xMlNvKUTCruJb3P9g8hA5VXo9RgLLt8bsP22dcIILRVqyVWsJOYwsKhz4lFUdzKnwLO1eB6%2BwM04MvdOpO%2B7VoYOOytjZj%2BgpfrAzy8YQKQKrDPC27waZDiSfDnJk2bteJ3A%3D&imageId=SVZOYmR0Ti9JZmJrS3hyWHRsTG1sUlNySlk2RjVHTUJhenRzV0syZHJVajdYOHRXMXlkMWVML3ZZSmdVOGxpVXFCK2RtbXZUYThGUGJSSlJEdXlteHc9PQ%3D%3D,,"지름 14cm, 높이 3.8cm",도자기-백자,광복이후,,,,,,,“壽”자란 명문이 새겨진 일반적인 밥사발 형태를 보이고 있다. 전체적으로 양호한 편이나 금이 나있다.,식생활-음식기-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100105000000
42,43,MPKB22,제주여성역사,이뮤지엄 DB,재떨이,,www.emuseum.go.kr/openapi/img?serviceKey=i%2B%2FLqJkLzGr9JE4yMHOCKvVyo13H5IKrobjWUlQIHsHcIJNiTCEeyOO9AXRf%2FYvI5s3QerOchFxH28DOm%2BwMoLI1Xi0wPBZ3ouyWyzAN9MuYZAO06Vih%2FImL03zuxL9odYQq%2BE3hdyI%3D&imageId=ZTJIZFE1VHI1YmdDN0JoeHJXcjMrSFhnWEE0VXNURkwyYWIyc0gvTjFpbzRIUkZVazhDQWhDRlI3YWl6ZjlJczFvNUphNTRIeklsQmhoTWRNbzB5OHc9PQ%3D%3D,,"지름 22cm, 높이 3.5cm",나무-기타,광복이후,,,,,,, 겉은 10각의 내부는 원으로 파여진 나무 재떨이다. 안족으로 사용한 흔적이 있는 생활 기스가 있으나 전체적으로 양호한 편이다.,식생활-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100105200000
43,44,MPKB22,제주여성역사,이뮤지엄 DB,백자단지,,www.emuseum.go.kr/openapi/img?serviceKey=twMUpdZXKM%2FFMgQL5o5lhOpDsUEGYHwCdCHDG5jzKLedo2ivaCWyYrEQk3m2QbLWItQj0B1ER0H5u53iAWjRQBDwaNyVBXEwshITpTuteFAH4HbyPRHZfYNzx5hUilmSUmn3y3xfJ5U%3D&imageId=R2NRbEhjWmNqMzRsL0ZmOVFTdXdqTi9xMWMxUjE5UFdIZkNlc1JtbUx3NzJlY3FuSVNvTUhWZHpvRkVORHZUSWthYjBxNk14Yi9TMW05c0MyRXp4MEE9PQ%3D%3D,,"최대지름 22.5cm, 구멍지름 15cm, 높이 19cm",도자기-백자,광복이후,,,,,,, 일반적인 자기 모습을 하고 있다. 전반적으로 양호하나 일부 입구부분이 깨져있다.,식생활-음식기-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100105300000
44,45,MPKB22,제주여성역사,이뮤지엄 DB,바가지,,www.emuseum.go.kr/openapi/img?serviceKey=%2BdTtItHjKUvcWpU1WJzKkDHSu0e%2BgRSpqqGISSXUwO4JMvrk3fHxEv3osV%2FZM9hJBO3YZ%2BW6S6WZRYsz1UOuTQ9SdwcLYtPAky%2BAh57wDgV84Z7J8K6UpBQDvl3%2FEr6apPqP6%2BG0PC0%3D&imageId=ZHA0dEpwT09KKzFQRG55bkhxNkRvYnViY1BPN29KOFJPNXhxcnc3L08wWVVxWGVLT0ZMb1pUVUZ1eFpCWTgyQ2p4YTNjS1lzZjBPMDB4YUxPcVpod1E9PQ%3D%3D,,"길이 19.8cm, 너비 17.7cm, 높이 6.5cm",나무-기타,광복이후,,,,,,, 일반적인 바가지 형태를 띈다. 전체적으로 상태는 야호하나 부분 결실이 있다.,식생활-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100105400000
45,46,MPKB22,제주여성역사,이뮤지엄 DB,좀박,,www.emuseum.go.kr/openapi/img?serviceKey=quQsg3pymZRv%2FdP4Q%2FSybjOgSDSmJ%2FDmy%2BbdlV4bU4dIVTMhFPHo4lFw1fnnb9IDuypvRismJ6YpITRcn6GAvKR5YaF2BJ6FQV5xYGMQpeegDh5xNRHfSTchaLawtXq7IEG52G58AqE%3D&imageId=U2cxRTNKeXhEbkh4Ny80NFh2TXI5eTRBT0hETm8wM0thbjAxOHNSVmRjNTI5Q21Cdy9vSHFOZnVOSldTMUpRaWI5NjNsR3QxbzZRc0IzWHMwWWZZVlE9PQ%3D%3D,,"길이 29.5cm, 너비 18.5cm, 높이 7cm",나무-기타,광복이후,,,,,,, 일반적인 좀박의 형태를 보여준다. 상태는 야호한 편이다.,식생활-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100105500000
46,47,MPKB22,제주여성역사,이뮤지엄 DB,수저,,www.emuseum.go.kr/openapi/img?serviceKey=o%2FCVd1D16P072K9kmw37nJClMbTSEvs%2B6%2F8K7y1L3mZ9%2FgpK8i44nIC%2BsOSWbaXIRnu6K%2Bj17i1Yurrg9rcitUNKSZ2fRVt%2BiViJsbmId7AwXeX7tr%2FOrudFleGgtoaIjS6MfT%2BhMJY%3D&imageId=ZmNRbUhqaUZXd3pjU3E2QjdHbTJXSTNhM09YSHpiZ0laUldmdTdIQWpVbU04L2FVSlBOb1Zhazlxc2lFdTFsNm9EbHdZSStqbTJ5M0ZiVnRqNWl3K0E9PQ%3D%3D,,"길이 19.7cm, 너비 4.9cm",금속-기타,광복이후,,,,,,, 일반적인 놋수저의 형태를 보여준다. 상태는 양호한 편이다.,식생활-음식기-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100105600000
47,48,MPKB22,제주여성역사,이뮤지엄 DB,차롱,,www.emuseum.go.kr/openapi/img?serviceKey=GCqvXkyYu2Xn5qWGPuuhKBDPpW3VFzOKhxpasLqLYU9u2VgrDvwjCjwz0RXz8Zh0gRDenF%2FXrA4YMA1T70%2BuD77C5LGZzTWi2g%2FLX0VKKh7FyIhD1ww4Nrfvr91tEEQ9DB9FAM6pWTY%3D&imageId=R1UwY1d1ayt3dWhISkJPTjRPc3FUMWc4c0o0UGpxVnlVazZKeVNrekZBZWZENGRBUmVKR1h5eE0rYzdhQWJjQWtzbDAwUnB5YXhJSExLRFE1U2VpYUE9PQ%3D%3D,,"가로 46cm, 세로 38.5cm, 높이 9cm",나무-대나무,광복이후,,,,,,, 제주도의 일반적인 바구니의 형태를 보여준다. 상태는 양호한 편이다. 유물1063번의 뚜껑으로 보인다.,식생활-음식기-저장운반,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100106400000
48,49,MPKB22,제주민속자연사,이뮤지엄 DB,백자광구소병,,,,"높이 24cm, 입지름 5.6cm, 바닥지름 8.7cm",도자기-백자,조선,,,,,,,"동체가 길고 가늘고 짧은 목에 부리가 벌어진 병
물, 술 등의 보관",식생활-음식기-음식-병,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100006400000
49,50,MPKB22,제주민속자연사,이뮤지엄 DB,떡살    ,,,,길이 42.0cm,도자기-백자,조선,,,,,,,"길쑴한 네모 막대기의 한면에 빗살 무늬가 있음, 떡의 본",식생활-가공-일반가공-떡살,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100046500000
